time,x gyro vals,x gyro mean offset,y gyro vals,y gyro mean offset,z gyro vals,z gyro mean offset
0,6.221374046,6.288258815,2.27480916,1.522719011,-0.328244275,-0.245728826
1,6.839694656,6.288258815,1.870229008,1.522719011,0.053435115,-0.245728826
2,6.496183206,6.288258815,3.832061069,1.522719011,-0.564885496,-0.245728826
3,6.229007634,6.288258815,1.755725191,1.522719011,-0.099236641,-0.245728826
4,6.488549618,6.288258815,0,1.522719011,-0.038167939,-0.245728826
5,5.79389313,6.288258815,1.549618321,1.522719011,-0.435114504,-0.245728826
6,6.091603053,6.288258815,1.786259542,1.522719011,-0.335877863,-0.245728826
7,6.541984733,6.288258815,0.045801527,1.522719011,-0.190839695,-0.245728826
8,6.580152672,6.288258815,1.93129771,1.522719011,-0.251908397,-0.245728826
9,3.969465649,6.288258815,1.709923664,1.522719011,0.122137405,-0.245728826
10,6.259541985,6.288258815,1.984732824,1.522719011,-0.503816794,-0.245728826
11,6.519083969,6.288258815,1.908396947,1.522719011,-0.114503817,-0.245728826
12,6.435114504,6.288258815,1.908396947,1.522719011,-0.419847328,-0.245728826
13,6.366412214,6.288258815,0.061068702,1.522719011,-0.404580153,-0.245728826
14,6.267175573,6.288258815,2.045801527,1.522719011,0.015267176,-0.245728826
15,6.526717557,6.288258815,1.816793893,1.522719011,-0.076335878,-0.245728826
16,6.328244275,6.288258815,0.007633588,1.522719011,-0.65648855,-0.245728826
17,6.694656489,6.288258815,1.809160305,1.522719011,-0.305343511,-0.245728826
18,6.320610687,6.288258815,1.618320611,1.522719011,-0.06870229,-0.245728826
19,6.603053435,6.288258815,2.007633588,1.522719011,-0.297709924,-0.245728826
